sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
92,4.681134173217494,1.6082583745731167,2.1076242781006878,0.08996935034142223,1.718531974251667,21.33849813289939,full_OnSSET,36.28037533649239,32.69206570238053,4596.0,0.9010950244910345
93,4.8552936019913355,1.5689483752848985,2.361368514345695,0.07658144726551896,1.5923879057941632,44.597111073687635,full_OnSSET,74.16836641987416,66.83274595557653,4380.0,0.9010950244910345
94,3.8724693594591586,1.9585650439903164,2.0459782866092504,0.09018011716663214,1.8101300724010192,42.56869010304642,full_OnSSET,23.161506522917367,20.87071828751748,4174.0,0.9010950244910345
95,3.101419797568265,1.9083801941929837,2.056617997448973,0.06277568495969735,2.075464819918704,13.735386327117661,full_OnSSET,10.900809063121269,9.822664809705351,3019.0,0.9010950244910345
96,3.6281890154524796,1.0326107172648282,2.7017142707717685,0.13494508142599065,1.653261576682874,37.24054691850132,full_OnSSET,69.92792916915317,63.01170904728541,4854.0,0.9010950244910345
97,4.698791083566884,1.9065211214250528,2.2408840753827057,0.10403968261476265,1.7072768444097886,23.644733379248883,full_OnSSET,41.773280633277125,37.641695335313706,4906.0,0.9010950244910345
98,4.812331737969512,1.1538678682466639,2.032361283281661,0.1368165939808902,1.957593929052024,29.928599622018595,full_OnSSET,44.01025692439469,39.657423541144155,5423.0,0.9010950244910345
99,4.297309565360058,1.307365146387375,2.3540335429977053,0.12625088028879,2.0118428089973865,11.283138379609458,full_OnSSET,34.78698958136118,31.346383228786017,5093.0,0.9010950244910345
100,3.083666173453061,1.2517034118327757,2.7719511580611127,0.0972605740541142,1.7853432090512837,16.073679434637466,full_OnSSET,63.68830516938275,57.38921490639743,3944.0,0.9010950244910345
101,3.185205272582467,1.1091645953111962,2.6432667590968904,0.06871177019514577,2.278738171604167,17.888617138225776,full_OnSSET,61.46156937059239,55.382714357251366,3543.0,0.9010950244910345
102,4.2583648755077865,1.178082962762024,2.552219432155302,0.06430154244938775,1.5302000469113461,15.526947151229198,full_OnSSET,56.57686943975455,50.98113555344169,3954.0,0.9010950244910345
103,4.251705817894577,1.8825010830444044,2.5387589920537716,0.06888845444546982,1.5910286247809267,41.8317738902424,full_OnSSET,75.10378558491102,67.6756475110048,4047.0,0.9010950244910345
104,4.897036849726197,1.0789340695647727,2.706769273285412,0.07008882722873733,1.7937281030975085,25.657250742476855,full_OnSSET,84.90992859094563,76.51191418319014,4229.0,0.9010950244910345
105,4.321456657881735,1.9496349354365523,2.163209926612184,0.06324652930677642,2.2490714389443327,26.100464972080886,full_OnSSET,33.809037039147846,30.46515505880922,3920.0,0.9010950244910345
106,3.9647682798885135,1.1275684359023823,2.5079129826182553,0.13817434244591303,2.1910240405244075,27.99015113839953,full_OnSSET,63.30178250741096,57.04092125884162,5061.0,0.9010950244910345
